,area_type,availability,total_sqft,price
576,Super built-up  Area,Ready To Move,1230,80.0
577,Plot  Area,Ready To Move,1200,65.0
578,Super built-up  Area,Ready To Move,1460,73.0
579,Plot  Area,Immediate Possession,1200 - 2400,34.185
580,Built-up  Area,Ready To Move,967,45.0
581,Built-up  Area,Ready To Move,540,36.0
582,Super built-up  Area,19-Dec,715,46.0
583,Super built-up  Area,Ready To Move,2500,313.0
584,Super built-up  Area,Ready To Move,1578,180.0
585,Super built-up  Area,Ready To Move,1020,48.95
586,Super built-up  Area,Ready To Move,1020,40.0
587,Super built-up  Area,Ready To Move,1253,102.0
588,Super built-up  Area,Ready To Move,1180,42.0
589,Super built-up  Area,Ready To Move,961,38.0
590,Built-up  Area,Ready To Move,1419,75.0
591,Super built-up  Area,Ready To Move,1709,150.0
592,Plot  Area,Ready To Move,1600,115.0
593,Super built-up  Area,18-Jul,416,18.5
594,Carpet  Area,Ready To Move,1100,98.0
595,Super built-up  Area,Ready To Move,1430,65.0
596,Super built-up  Area,Ready To Move,1260,45.0
597,Built-up  Area,Ready To Move,1630,85.0
598,Super built-up  Area,19-May,1249,44.71
599,Super built-up  Area,Ready To Move,1450,85.0
600,Super built-up  Area,17-Nov,2791,223.0
601,Super built-up  Area,Ready To Move,600,90.0
602,Built-up  Area,Ready To Move,834,60.0
603,Plot  Area,Ready To Move,1125,70.0
604,Super built-up  Area,Ready To Move,2060,140.0
605,Super built-up  Area,19-Jan,12000,2200.0
606,Built-up  Area,Ready To Move,891,25.0
607,Super built-up  Area,Ready To Move,1133,49.07
608,Built-up  Area,Ready To Move,1075,37.0
609,Super built-up  Area,18-May,3000,260.0
610,Plot  Area,Ready To Move,2440,425.0
611,Built-up  Area,Ready To Move,1200,55.0
612,Super built-up  Area,Ready To Move,1075,45.8
613,Super built-up  Area,Ready To Move,1140,40.0
614,Plot  Area,Ready To Move,940,150.0
615,Plot  Area,Ready To Move,2160,250.0
616,Super built-up  Area,Ready To Move,1090,42.0
617,Built-up  Area,Ready To Move,1500,70.0
618,Super built-up  Area,Ready To Move,4104,360.0
619,Super built-up  Area,Ready To Move,1790,100.0
620,Super built-up  Area,18-Dec,1920,134.0
621,Built-up  Area,Ready To Move,1374,95.0
622,Carpet  Area,Ready To Move,1445,95.0
623,Super built-up  Area,19-Dec,711,36.0
624,Super built-up  Area,Ready To Move,1500,95.0
625,Super built-up  Area,Ready To Move,1720,100.0
626,Super built-up  Area,Ready To Move,1400,60.0
627,Built-up  Area,Ready To Move,1030,49.0
628,Super built-up  Area,Ready To Move,1200,85.0
629,Carpet  Area,18-Jul,1375,70.0
630,Plot  Area,Ready To Move,1050,56.0
631,Super built-up  Area,Ready To Move,2250,160.0
632,Super built-up  Area,Ready To Move,1000,50.0
633,Super built-up  Area,Ready To Move,469,25.0
634,Super built-up  Area,Ready To Move,3800,250.0
635,Super built-up  Area,Ready To Move,883,29.0
636,Super built-up  Area,Ready To Move,1820,86.0
637,Built-up  Area,Ready To Move,1440,65.0
638,Super built-up  Area,Ready To Move,3600,160.0
639,Built-up  Area,Ready To Move,2500,325.0
640,Super built-up  Area,18-Aug,1225,48.0
641,Plot  Area,Ready To Move,4000,660.0
642,Carpet  Area,Ready To Move,875,52.8
643,Super built-up  Area,Ready To Move,750,40.0
644,Super built-up  Area,Ready To Move,1180,80.0
645,Super built-up  Area,Ready To Move,1194,47.0
646,Super built-up  Area,Ready To Move,1500,62.0
647,Super built-up  Area,Ready To Move,1160,52.2
648,Built-up  Area,Ready To Move,4125Perch,265.0
649,Super built-up  Area,Ready To Move,2378,262.0
650,Super built-up  Area,Ready To Move,1128,60.0
651,Super built-up  Area,Ready To Move,1500,150.0
652,Built-up  Area,18-Aug,1220,35.23
653,Super built-up  Area,Ready To Move,1210,58.0
654,Super built-up  Area,20-Oct,1100,58.0
655,Super built-up  Area,Ready To Move,1200,46.0
656,Built-up  Area,18-Mar,3385,260.0
657,Super built-up  Area,Ready To Move,1641,66.0
658,Super built-up  Area,Ready To Move,1200,45.0
659,Super built-up  Area,Ready To Move,1260,67.39
660,Super built-up  Area,Ready To Move,1720,78.0
661,Super built-up  Area,Ready To Move,1120 - 1145,48.13
662,Super built-up  Area,Ready To Move,1210,45.98
663,Built-up  Area,Ready To Move,2200,200.0
664,Super built-up  Area,Ready To Move,1075,45.0
665,Built-up  Area,Ready To Move,1702,130.0
666,Super built-up  Area,Ready To Move,1630,200.0
667,Super built-up  Area,Ready To Move,1141,38.55
668,Super built-up  Area,18-Apr,2072,108.0
669,Super built-up  Area,18-Dec,4400 - 6640,375.0
670,Built-up  Area,Ready To Move,1200,70.0
671,Super built-up  Area,Ready To Move,1350,77.0
672,Built-up  Area,18-Mar,3090 - 5002,445.0
673,Super built-up  Area,18-Dec,1180,78.34
674,Built-up  Area,Ready To Move,35000,130.0
675,Super built-up  Area,Ready To Move,1355,115.0
676,Plot  Area,Ready To Move,600,50.0
677,Plot  Area,Ready To Move,1200,150.0
678,Super built-up  Area,Ready To Move,1640,120.0
679,Plot  Area,Ready To Move,1200,100.0
680,Super built-up  Area,Ready To Move,1190,57.0
681,Plot  Area,Ready To Move,2400,375.0
682,Super built-up  Area,Ready To Move,1019,49.85
683,Super built-up  Area,Ready To Move,1875,165.0
684,Super built-up  Area,18-May,1250,40.0
685,Plot  Area,Ready To Move,1200,140.0
686,Super built-up  Area,Ready To Move,1140,56.0
687,Super built-up  Area,Ready To Move,1683,109.0
688,Super built-up  Area,Ready To Move,1515,83.3
689,Super built-up  Area,19-Dec,2118,111.0
690,Built-up  Area,Ready To Move,1380,58.0
691,Super built-up  Area,Ready To Move,1083,61.75
692,Plot  Area,Ready To Move,600,55.0
693,Built-up  Area,Ready To Move,2300,120.0
694,Super built-up  Area,Ready To Move,1240,60.0
695,Super built-up  Area,Ready To Move,1750,120.0
696,Super built-up  Area,18-Apr,1230,43.48
697,Plot  Area,17-Aug,1500,139.0
698,Super built-up  Area,Ready To Move,985,40.39
699,Plot  Area,Ready To Move,1500,87.0
700,Built-up  Area,18-Dec,1125,32.49
701,Built-up  Area,Ready To Move,950,44.0
702,Super built-up  Area,18-Dec,4400 - 6800,548.5
703,Super built-up  Area,Ready To Move,1580,76.0
704,Plot  Area,Ready To Move,1092,98.5
705,Built-up  Area,18-Jul,1090,28.34
706,Built-up  Area,19-Mar,2264,159.0
707,Super built-up  Area,19-Aug,1033,25.53
708,Super built-up  Area,18-Apr,810,24.5
709,Super built-up  Area,Ready To Move,1045,45.0
710,Super built-up  Area,18-Sep,1337,82.0
711,Super built-up  Area,Ready To Move,1200,32.0
712,Super built-up  Area,Ready To Move,1580,160.0
713,Super built-up  Area,Ready To Move,1500,54.0
714,Super built-up  Area,18-Sep,1640,91.0
715,Super built-up  Area,Ready To Move,1570,62.0
716,Super built-up  Area,Ready To Move,1470,82.0
717,Super built-up  Area,Ready To Move,1160,40.61
718,Built-up  Area,Ready To Move,1050,71.0
719,Super built-up  Area,20-Jun,1855,225.0
720,Super built-up  Area,Ready To Move,1460,90.0
721,Built-up  Area,Ready To Move,1823,100.0
722,Super built-up  Area,Ready To Move,1094,42.0
723,Super built-up  Area,Ready To Move,1153,57.0
724,Built-up  Area,Ready To Move,1325,57.0
725,Plot  Area,Ready To Move,1200,85.0
726,Built-up  Area,Ready To Move,1590,125.0
727,Plot  Area,Ready To Move,1210,160.0
728,Plot  Area,Ready To Move,1200,220.0
729,Super built-up  Area,Ready To Move,1202,48.0
730,Built-up  Area,Ready To Move,1202,53.0
731,Super built-up  Area,Ready To Move,1200,62.5
732,Super built-up  Area,18-Feb,1688,118.0
733,Built-up  Area,Ready To Move,1020,52.0
734,Super built-up  Area,Ready To Move,1185,47.0
735,Super built-up  Area,17-Oct,1235,52.04
736,Super built-up  Area,Ready To Move,3205,500.0
737,Super built-up  Area,Ready To Move,1077,37.64
738,Super built-up  Area,Ready To Move,1415,66.0
739,Super built-up  Area,18-Apr,2330,162.0
740,Super built-up  Area,Ready To Move,805,35.0
741,Built-up  Area,Ready To Move,425,20.03
742,Super built-up  Area,Ready To Move,1155,59.95
743,Super built-up  Area,Ready To Move,5270,1250.0
744,Super built-up  Area,Ready To Move,656,22.0
745,Built-up  Area,Ready To Move,1100,48.0
746,Super built-up  Area,Ready To Move,1150,52.0
747,Plot  Area,Ready To Move,600,60.0
748,Super built-up  Area,Ready To Move,1468,140.0
749,Plot  Area,Ready To Move,4300,550.0
750,Super built-up  Area,18-Dec,2280,126.0
751,Super built-up  Area,Ready To Move,1341,97.0
752,Super built-up  Area,Ready To Move,1279,77.0
753,Super built-up  Area,18-Dec,2225,98.88
754,Super built-up  Area,Ready To Move,1185,43.51
755,Super built-up  Area,Ready To Move,1750,85.0
756,Super built-up  Area,Ready To Move,1152,53.5
757,Plot  Area,Ready To Move,1000,160.0
758,Super built-up  Area,Ready To Move,1300,36.0
759,Plot  Area,18-Nov,2760,155.0
760,Super built-up  Area,18-Aug,1070,39.0
761,Super built-up  Area,Ready To Move,1101,45.0
762,Super built-up  Area,Ready To Move,775,55.0
763,Super built-up  Area,Ready To Move,667,36.85
764,Super built-up  Area,Ready To Move,1070,55.0
765,Built-up  Area,Ready To Move,1875,110.0
766,Super built-up  Area,Ready To Move,735,57.99
767,Plot  Area,Ready To Move,4360,90.0
768,Super built-up  Area,Ready To Move,1750,130.0
769,Super built-up  Area,Ready To Move,1215,67.0
770,Plot  Area,Ready To Move,600,190.0
771,Super built-up  Area,Ready To Move,820,30.0
772,Super built-up  Area,20-Dec,1160 - 1195,59.935
773,Super built-up  Area,Ready To Move,1779,89.61
774,Built-up  Area,Ready To Move,1105,58.0
775,Built-up  Area,Ready To Move,1000Sq. Meter,93.0
776,Super built-up  Area,Ready To Move,1650,60.0
777,Super built-up  Area,Ready To Move,1694,150.0
778,Super built-up  Area,Ready To Move,2376,203.0
779,Super built-up  Area,Ready To Move,1975,150.0
780,Super built-up  Area,Ready To Move,674,33.0
781,Super built-up  Area,Ready To Move,1185,41.0
782,Super built-up  Area,Ready To Move,445,28.0
783,Built-up  Area,Ready To Move,900,76.0
784,Super built-up  Area,Ready To Move,1475,75.0
785,Super built-up  Area,Ready To Move,1618,82.5
786,Super built-up  Area,Ready To Move,1120,65.0
787,Super built-up  Area,Ready To Move,2181,152.0
788,Plot  Area,Ready To Move,1200,90.0
789,Plot  Area,Ready To Move,600,65.0
790,Super built-up  Area,18-Oct,1556,59.13
791,Super built-up  Area,19-Feb,1179,66.02
792,Super built-up  Area,Ready To Move,1296,83.0
793,Built-up  Area,Ready To Move,1275,52.0
794,Built-up  Area,Ready To Move,1875,300.0
795,Super built-up  Area,Ready To Move,1400,77.0
796,Super built-up  Area,Ready To Move,1222,63.0
797,Super built-up  Area,Ready To Move,940,41.0
798,Super built-up  Area,Ready To Move,1185,42.6
799,Super built-up  Area,Ready To Move,1779,112.0
800,Super built-up  Area,Ready To Move,1615,59.76
801,Super built-up  Area,18-Dec,4000 - 5249,453.0
802,Super built-up  Area,Ready To Move,1056,61.0
803,Super built-up  Area,Ready To Move,1100,46.0
804,Built-up  Area,Ready To Move,920,40.0
805,Super built-up  Area,Ready To Move,1602,75.0
806,Built-up  Area,Ready To Move,1176,62.0
807,Plot  Area,Ready To Move,675,59.0
808,Super built-up  Area,Ready To Move,1352,135.0
809,Built-up  Area,Ready To Move,1717,99.0
810,Plot  Area,18-Apr,10961,80.0
811,Super built-up  Area,18-Jul,2119,111.0
812,Super built-up  Area,Ready To Move,1246,67.3
813,Super built-up  Area,17-Jul,1141,42.79
814,Built-up  Area,Ready To Move,1157,84.0
815,Super built-up  Area,18-Aug,1025,27.68
816,Built-up  Area,Ready To Move,650,33.0
817,Super built-up  Area,Ready To Move,1349,98.0
818,Super built-up  Area,Ready To Move,1566,83.3
819,Super built-up  Area,Ready To Move,2830,195.0
820,Built-up  Area,18-Dec,1320,38.13
821,Super built-up  Area,18-Nov,1780,84.83
822,Super built-up  Area,Ready To Move,1091,34.9
823,Super built-up  Area,Ready To Move,3670,300.0
824,Built-up  Area,Ready To Move,918,50.49
825,Super built-up  Area,20-Dec,1950,130.0
826,Super built-up  Area,Ready To Move,1695,90.0
827,Super built-up  Area,Ready To Move,1705,95.0
828,Built-up  Area,Ready To Move,1375,75.0
829,Super built-up  Area,21-Oct,525,30.0
830,Built-up  Area,20-Dec,1447,83.0
831,Super built-up  Area,Ready To Move,1114,39.0
832,Super built-up  Area,Ready To Move,1450,100.0
833,Super built-up  Area,Ready To Move,460,15.0
834,Built-up  Area,Ready To Move,1022,40.0
835,Built-up  Area,Ready To Move,1000,45.0
836,Super built-up  Area,18-Apr,1128,68.75
837,Super built-up  Area,18-May,1180,57.0
838,Built-up  Area,Ready To Move,1000,69.0
839,Plot  Area,Ready To Move,1200,150.0
840,Super built-up  Area,Ready To Move,3761,660.0
841,Super built-up  Area,Ready To Move,1339,75.0
842,Super built-up  Area,Ready To Move,1400,55.0
843,Super built-up  Area,Ready To Move,1040,39.52
844,Super built-up  Area,Ready To Move,1198,58.0
845,Plot  Area,Ready To Move,1200,95.0
846,Super built-up  Area,Ready To Move,1691,113.0
847,Super built-up  Area,Ready To Move,1075,36.0
848,Super built-up  Area,18-Jun,1630,194.0
849,Super built-up  Area,18-Jun,1240,43.5
850,Super built-up  Area,22-Dec,1115 - 1130,58.935
851,Super built-up  Area,Ready To Move,1665,86.58
852,Built-up  Area,Ready To Move,2489,94.0
853,Built-up  Area,Ready To Move,1142,70.0
854,Super built-up  Area,Ready To Move,1976,184.0
855,Plot  Area,Ready To Move,5500,600.0
856,Super built-up  Area,Ready To Move,1853,82.0
857,Plot  Area,Ready To Move,600,72.0
858,Super built-up  Area,Ready To Move,1567,92.0
859,Super built-up  Area,Ready To Move,1090,27.24
860,Plot  Area,Ready To Move,1200,125.0
861,Plot  Area,Ready To Move,2400,640.0
862,Super built-up  Area,Ready To Move,1175,51.47
863,Built-up  Area,Ready To Move,1200,52.0
864,Built-up  Area,Ready To Move,995,41.0
865,Super built-up  Area,Ready To Move,884,41.1
866,Plot  Area,Ready To Move,900,80.0
867,Built-up  Area,Ready To Move,1170,57.0
868,Super built-up  Area,Ready To Move,1225,46.55
869,Super built-up  Area,18-Apr,1342,73.3
870,Built-up  Area,19-Dec,1345,67.0
871,Built-up  Area,Ready To Move,1320,65.0
872,Super built-up  Area,Ready To Move,1100Sq. Yards,45.0
873,Super built-up  Area,Ready To Move,1140,49.39
874,Super built-up  Area,Ready To Move,1300,50.0
875,Super built-up  Area,Ready To Move,1652,85.0
876,Super built-up  Area,Ready To Move,2072,142.0
877,Built-up  Area,Ready To Move,1740,95.0
878,Super built-up  Area,Ready To Move,1360,71.0
879,Super built-up  Area,Ready To Move,1145,60.0
880,Built-up  Area,Ready To Move,1540,40.0
881,Super built-up  Area,Ready To Move,1278,95.0
882,Super built-up  Area,18-May,630,40.0
883,Super built-up  Area,21-Jan,1100,58.0
884,Plot  Area,Ready To Move,1200,95.0
885,Built-up  Area,Ready To Move,2500,115.0
886,Super built-up  Area,18-Jun,520 - 645,15.135
887,Super built-up  Area,18-Sep,1015,25.88
888,Built-up  Area,Ready To Move,3300,240.0
889,Plot  Area,Ready To Move,4500,415.0
890,Super built-up  Area,Ready To Move,1356,66.0
891,Super built-up  Area,Ready To Move,823,28.0
892,Plot  Area,Ready To Move,1200,66.0
893,Built-up  Area,Ready To Move,1050,37.0
894,Super built-up  Area,Ready To Move,1180,69.0
895,Super built-up  Area,Ready To Move,1116,51.91
896,Super built-up  Area,Ready To Move,1070,42.79
897,Super built-up  Area,17-Mar,1385,80.0
898,Plot  Area,Ready To Move,1000,70.0
899,Built-up  Area,18-Feb,1897,130.0
900,Super built-up  Area,18-Aug,1005,55.78
901,Super built-up  Area,Ready To Move,1575,125.0
902,Super built-up  Area,Ready To Move,975,65.0
903,Super built-up  Area,Ready To Move,1904,120.0
904,Super built-up  Area,Ready To Move,930,30.0
905,Super built-up  Area,21-Dec,525,26.0
906,Super built-up  Area,Ready To Move,686,17.0
907,Plot  Area,Ready To Move,2400,150.0
908,Plot  Area,Ready To Move,1410,233.0
909,Built-up  Area,18-Apr,2238,140.0
910,Super built-up  Area,Ready To Move,1174,69.0
911,Built-up  Area,Ready To Move,3800,239.0
912,Super built-up  Area,Ready To Move,2225,125.0
913,Super built-up  Area,Ready To Move,1250,200.0
914,Super built-up  Area,Ready To Move,918,52.0
915,Super built-up  Area,Ready To Move,1250,52.0
916,Super built-up  Area,Ready To Move,1800,110.0
917,Built-up  Area,Ready To Move,1170,53.0
918,Super built-up  Area,Ready To Move,1300,200.0
919,Built-up  Area,Ready To Move,793,45.0
920,Super built-up  Area,Ready To Move,1710,107.0
921,Super built-up  Area,Ready To Move,1082,57.5
922,Super built-up  Area,18-Mar,1001,33.03
923,Built-up  Area,Ready To Move,1500,180.0
924,Super built-up  Area,Ready To Move,1590,54.0
925,Super built-up  Area,Ready To Move,2400,80.0
926,Super built-up  Area,Ready To Move,1554,55.0
927,Super built-up  Area,18-Dec,1000 - 1285,43.415
928,Super built-up  Area,Ready To Move,4239,423.0
929,Built-up  Area,Ready To Move,884,58.0
930,Super built-up  Area,19-Mar,1045,98.89
931,Super built-up  Area,Ready To Move,1019,49.86
932,Super built-up  Area,Ready To Move,1935,130.0
933,Super built-up  Area,Ready To Move,1135,39.73
934,Super built-up  Area,Ready To Move,1680,150.0
935,Super built-up  Area,19-Jun,2470,247.0
936,Super built-up  Area,Ready To Move,2825,250.0
937,Super built-up  Area,Ready To Move,2480,330.0
938,Plot  Area,Ready To Move,1260,290.0
939,Plot  Area,Ready To Move,1800,187.0
940,Built-up  Area,Ready To Move,1799,90.0
941,Super built-up  Area,Ready To Move,3606 - 5091,304.0
942,Built-up  Area,Ready To Move,400,11.0
943,Built-up  Area,18-Mar,1047,82.0
944,Super built-up  Area,Ready To Move,1282,87.0
945,Super built-up  Area,Ready To Move,1020,45.9
946,Plot  Area,Ready To Move,1080,155.0
947,Super built-up  Area,Ready To Move,1495,79.5
948,Built-up  Area,Ready To Move,3260,240.0
949,Super built-up  Area,17-Oct,1611,64.44
950,Super built-up  Area,Ready To Move,3500,425.0
951,Built-up  Area,Ready To Move,1500,95.0
952,Super built-up  Area,Ready To Move,1500,95.0
953,Plot  Area,Ready To Move,3206,270.0
954,Super built-up  Area,Ready To Move,1540,50.0
955,Super built-up  Area,18-May,1639,80.0
956,Plot  Area,Ready To Move,700,72.0
957,Super built-up  Area,Ready To Move,1303,55.79
958,Super built-up  Area,Ready To Move,1005,110.0
959,Super built-up  Area,Ready To Move,650 - 665,18.41
960,Super built-up  Area,18-Oct,1305,33.28
961,Plot  Area,Ready To Move,600,95.0
962,Super built-up  Area,Ready To Move,1300,115.0
963,Super built-up  Area,Ready To Move,1440,68.0
964,Super built-up  Area,18-Dec,901,35.14
965,Super built-up  Area,Ready To Move,1725,200.0
966,Built-up  Area,Ready To Move,900,42.0
967,Super built-up  Area,Ready To Move,1060,55.0
968,Super built-up  Area,Ready To Move,1020,48.45
969,Super built-up  Area,20-Dec,1535,65.99
